,sentence_no,word,pos,target
16364,1992,come,VBN,O
16365,1992,out,RP,O
16366,1993,list,NN,O
16367,1993,all,DT,O
16368,1993,of,IN,O
16369,1993,the,DT,O
16370,1993,airplane,NN,B-TITLE
16371,1993,films,NNS,O
16372,1994,who,WP,O
16373,1994,directed,VBD,O
16374,1994,the,DT,O
16375,1994,movie,NN,O
16376,1994,casablanca,NN,B-TITLE
16377,1995,is,VBZ,O
16378,1995,there,EX,O
16379,1995,a,DT,O
16380,1995,docudrama,NN,B-GENRE
16381,1995,about,IN,O
16382,1995,britan,NN,B-PLOT
16383,1996,list,NN,O
16384,1996,drama,NN,B-GENRE
16385,1996,movies,NNS,O
16386,1996,starring,VBG,O
16387,1996,jodie,NN,B-ACTOR
16388,1996,foster,NN,I-ACTOR
16389,1996,from,IN,O
16390,1996,the,DT,O
16391,1996,1990s,CD,B-YEAR
16392,1997,did,VBD,O
16393,1997,leonardo,VB,B-ACTOR
16394,1997,dicaprio,NN,I-ACTOR
16395,1997,win,IN,O
16396,1997,an,DT,O
16397,1997,oscar,NN,B-REVIEW
16398,1997,for,IN,O
16399,1997,inception,NN,B-TITLE
16400,1998,what,WP,O
16401,1998,year,NN,O
16402,1998,did,VBD,O
16403,1998,scream,NN,B-TITLE
16404,1998,release,NN,O
16405,1999,who,WP,O
16406,1999,plays,VBZ,O
16407,1999,michael,NN,B-CHARACTER
16408,1999,myers,NNS,I-CHARACTER
16409,1999,in,IN,O
16410,1999,the,DT,O
16411,1999,first,JJ,O
16412,1999,halloween,NN,B-TITLE
16413,1999,film,NN,O
16414,2000,who,WP,O
16415,2000,directed,VBD,O
16416,2000,young,JJ,B-TITLE
16417,2000,frankenstein,NN,I-TITLE
16418,2001,movie,NN,O
16419,2001,with,IN,O
16420,2001,songs,NNS,B-SONG
16421,2001,by,IN,I-SONG
16422,2001,the,DT,I-SONG
16423,2001,moldy,NN,I-SONG
16424,2001,peaches,NNS,I-SONG
16425,2002,i,NN,O
16426,2002,want,VBP,O
16427,2002,to,TO,O
16428,2002,watch,VB,O
16429,2002,carrie,NN,B-TITLE
16430,2003,a,DT,O
16431,2003,list,NN,O
16432,2003,of,IN,O
16433,2003,sandler,NN,B-ACTOR
16434,2003,co,NN,O
16435,2003,stars,NNS,O
16436,2004,find,VB,O
16437,2004,a,DT,O
16438,2004,funny,JJ,O
16439,2004,comedy,NN,B-GENRE
16440,2004,starring,VBG,O
16441,2004,judy,NN,B-ACTOR
16442,2004,garland,NN,I-ACTOR
16443,2005,what,WP,O
16444,2005,rating,NN,O
16445,2005,did,VBD,O
16446,2005,meet,VB,B-TITLE
16447,2005,the,DT,I-TITLE
16448,2005,parents,NNS,I-TITLE
16449,2005,get,VBP,O
16450,2006,name,NN,O
16451,2006,the,DT,O
16452,2006,main,JJ,O
16453,2006,character,NN,O
16454,2006,in,IN,O
16455,2006,the,DT,B-TITLE
16456,2006,blind,JJ,I-TITLE
16457,2006,side,NN,I-TITLE
16458,2007,show,VB,O
16459,2007,the,DT,O
16460,2007,movie,NN,O
16461,2007,starring,VBG,O
16462,2007,leonardo,JJ,B-ACTOR
16463,2007,dicaprio,NN,I-ACTOR
16464,2007,and,CC,O
16465,2007,directed,VBN,O
16466,2007,by,IN,O
16467,2007,a,DT,O
16468,2007,nolan,NN,B-DIRECTOR
16469,2007,brother,NN,O
16470,2008,find,VB,O
16471,2008,a,DT,O
16472,2008,harry,NN,B-CHARACTER
16473,2008,potter,NN,I-CHARACTER
16474,2008,movie,NN,O
16475,2009,what,WP,O
16476,2009,year,NN,O
16477,2009,did,VBD,O
16478,2009,dracula,VB,B-TITLE
16479,2009,dead,JJ,I-TITLE
16480,2009,and,CC,I-TITLE
16481,2009,loving,VBG,I-TITLE
16482,2009,it,PRP,I-TITLE
16483,2009,release,VB,O
16484,2010,what,WP,O
16485,2010,movie,NN,O
16486,2010,did,VBD,O
16487,2010,adam,RB,B-ACTOR
16488,2010,sandler,NN,I-ACTOR
16489,2010,play,VB,B-PLOT
16490,2010,a,DT,I-PLOT
16491,2010,singer,NN,I-PLOT
16492,2011,what,WP,O
16493,2011,film,NN,O
16494,2011,genre,NN,O
16495,2011,is,VBZ,O
16496,2011,ferris,JJ,B-TITLE
16497,2011,buelers,NNS,I-TITLE
16498,2011,day,NN,I-TITLE
16499,2011,off,IN,I-TITLE
16500,2012,find,VB,O
16501,2012,a,DT,O
16502,2012,favorite,JJ,B-RATINGS_AVERAGE
16503,2012,quote,NN,O
16504,2012,from,IN,O
16505,2012,the,DT,O
16506,2012,harry,NN,B-TITLE
16507,2012,potter,NN,I-TITLE
16508,2012,movies,NNS,O
16509,2013,what,WP,O
16510,2013,year,NN,O
16511,2013,was,VBD,O
16512,2013,blazing,VBG,B-TITLE
16513,2013,saddles,NNS,I-TITLE
16514,2013,released,VBN,O
16515,2014,get,VB,O
16516,2014,apolo,JJ,B-TITLE
16517,2014,13,CD,I-TITLE
16518,2015,whats,VBZ,O
16519,2015,the,DT,O
16520,2015,name,NN,O
16521,2015,of,IN,O
16522,2015,that,DT,O
16523,2015,movie,NN,O
16524,2015,where,WRB,O
16525,2015,arnold,RB,B-ACTOR
16526,2015,schwarzenegger,NN,I-ACTOR
16527,2015,says,VBZ,O
16528,2015,ill,NN,O
16529,2015,be,VB,O
16530,2015,back,RB,O
16531,2016,what,WP,O
16532,2016,is,VBZ,O
16533,2016,the,DT,O
16534,2016,name,NN,O
16535,2016,of,IN,O
16536,2016,the,DT,O
16537,2016,movie,NN,O
16538,2016,that,WDT,O
16539,2016,is,VBZ,O
16540,2016,about,IN,O
16541,2016,sharks,NNS,B-PLOT
16542,2017,what,WP,O
16543,2017,is,VBZ,O
16544,2017,the,DT,O
16545,2017,rating,NN,O
16546,2017,for,IN,O
16547,2017,multiplicity,NN,B-TITLE
16548,2018,who,WP,O
16549,2018,directed,VBD,O
16550,2018,scream,NN,B-TITLE
16551,2019,what,WP,O
16552,2019,is,VBZ,O
16553,2019,john,JJ,B-ACTOR
16554,2019,travolta,JJ,I-ACTOR
16555,2019,movie,NN,O
16556,2019,about,IN,O
16557,2019,dealing,VBG,B-PLOT
16558,2019,with,IN,I-PLOT
16559,2019,a,DT,I-PLOT
16560,2019,disease,NN,I-PLOT
16561,2020,a,DT,O
16562,2020,movie,NN,O
16563,2020,with,IN,O
16564,2020,the,DT,O
16565,2020,song,NN,O
16566,2020,i,NN,B-SONG
16567,2020,love,VBP,I-SONG
16568,2020,rock,NN,I-SONG
16569,2020,n,NN,I-SONG
16570,2020,roll,NN,I-SONG
16571,2021,what,WP,O
16572,2021,film,NN,O
16573,2021,genre,NN,O
16574,2021,is,VBZ,O
16575,2021,terminator,NN,B-TITLE
16576,2022,does,VBZ,O
16577,2022,disney,NNS,O
16578,2022,have,VB,O
16579,2022,any,DT,O
16580,2022,r,NN,B-RATING
16581,2022,rated,VBN,I-RATING
16582,2022,movies,NNS,O
16583,2023,what,WP,O
16584,2023,classic,JJ,B-GENRE
16585,2023,movie,NN,I-GENRE
16586,2023,has,VBZ,O
16587,2023,a,DT,O
16588,2023,character,NN,O
16589,2023,named,VBN,O
16590,2023,scout,NN,B-CHARACTER
16591,2024,whats,NNS,O
16592,2024,a,DT,B-GENRE
16593,2024,spy,NN,I-GENRE
16594,2024,film,NN,I-GENRE
16595,2024,with,IN,O
16596,2024,diamonds,NNS,O
16597,2024,in,IN,O
16598,2024,the,DT,O
16599,2024,title,NN,O
16600,2025,thrillers,NNS,B-GENRE
16601,2025,from,IN,O
16602,2025,the,DT,O
16603,2025,1960s,NNS,B-YEAR
16604,2026,please,VB,O
16605,2026,list,NN,O
16606,2026,all,DT,O
16607,2026,r,NN,B-RATING
16608,2026,rated,VBN,I-RATING
16609,2026,movie,NN,O
16610,2026,starring,VBG,O
16611,2026,brad,NN,B-ACTOR
16612,2026,pitt,NN,I-ACTOR
16613,2027,find,VB,O
16614,2027,jack,NN,B-ACTOR
16615,2027,black,JJ,I-ACTOR
16616,2027,romantic,JJ,B-GENRE
16617,2027,comedy,NN,I-GENRE
16618,2028,are,VBP,O
16619,2028,there,EX,O
16620,2028,any,DT,O
16621,2028,movie,NN,O
16622,2028,based,VBN,O
16623,2028,on,IN,O
16624,2028,just,RB,B-PLOT
16625,2028,cats,NNS,I-PLOT
16626,2029,which,WDT,O
16627,2029,movies,NNS,O
16628,2029,best,RBS,O
16629,2029,showcase,NN,O
16630,2029,julia,NN,B-ACTOR
16631,2029,roberts,NNS,I-ACTOR
16632,2029,acting,VBG,O
16633,2029,talent,NN,O
16634,2030,list,NN,O
16635,2030,all,PDT,O
16636,2030,the,DT,O
16637,2030,movies,NNS,O
16638,2030,with,IN,O
16639,2030,leonardo,JJ,B-ACTOR
16640,2030,dicaprio,NN,I-ACTOR
16641,2030,in,IN,O
16642,2030,the,DT,O
16643,2030,90s,CD,B-YEAR
16644,2031,name,NN,O
16645,2031,the,DT,O
16646,2031,singer,NN,O
16647,2031,of,IN,O
16648,2031,the,DT,O
16649,2031,them,PRP,B-SONG
16650,2031,song,NN,I-SONG
16651,2031,for,IN,O
16652,2031,pretty,JJ,B-TITLE
16653,2031,woman,NN,I-TITLE
16654,2032,what,WP,O
16655,2032,is,VBZ,O
16656,2032,the,DT,O
16657,2032,title,NN,O
16658,2032,of,IN,O
16659,2032,the,DT,O
16660,2032,latest,JJS,O
16661,2032,pierce,NN,B-ACTOR
16662,2032,brosnan,NN,I-ACTOR
16663,2032,flick,NN,O
16664,2033,find,VB,O
16665,2033,romance,NN,B-GENRE
16666,2033,movies,NNS,O
16667,2033,from,IN,O
16668,2033,the,DT,O
16669,2033,60s,NNS,B-YEAR
16670,2034,who,WP,O
16671,2034,directed,VBD,O
16672,2034,bedazzled,VBD,B-TITLE
16673,2035,show,VB,O
16674,2035,me,PRP,O
16675,2035,a,DT,O
16676,2035,movie,NN,O
16677,2035,from,IN,O
16678,2035,the,DT,O
16679,2035,2000s,CD,B-YEAR
16680,2035,that,WDT,O
16681,2035,features,VBZ,O
16682,2035,emma,VBP,B-ACTOR
16683,2035,watson,NN,I-ACTOR
16684,2036,show,VB,O
16685,2036,me,PRP,O
16686,2036,disney,JJ,B-GENRE
16687,2036,coming,VBG,B-PLOT
16688,2036,of,IN,I-PLOT
16689,2036,age,NN,I-PLOT
16690,2036,movies,NNS,O
16691,2037,find,VB,O
16692,2037,the,DT,O
16693,2037,movie,NN,O
16694,2037,with,IN,O
16695,2037,the,DT,O
16696,2037,song,JJ,O
16697,2037,circle,NN,B-SONG
16698,2037,of,IN,I-SONG
16699,2037,life,NN,I-SONG
16700,2038,movie,NN,O
16701,2038,with,IN,O
16702,2038,katy,NN,B-SONG
16703,2038,perrys,NN,I-SONG
16704,2038,songs,NNS,O
16705,2039,what,WP,O
16706,2039,horror,NN,B-GENRE
16707,2039,movie,NN,O
16708,2039,features,VBZ,O
16709,2039,a,DT,O
16710,2039,character,NN,B-PLOT
16711,2039,coming,VBG,I-PLOT
16712,2039,out,IN,I-PLOT
16713,2039,of,IN,I-PLOT
16714,2039,a,DT,I-PLOT
16715,2039,tv,NN,I-PLOT
16716,2039,screen,NN,I-PLOT
16717,2040,is,VBZ,O
16718,2040,there,EX,O
16719,2040,a,DT,O
16720,2040,haunted,VBN,B-PLOT
16721,2040,house,NN,I-PLOT
16722,2040,movie,NN,O
16723,2040,where,WRB,O
16724,2040,the,DT,O
16725,2040,ghost,NN,B-PLOT
16726,2040,is,VBZ,I-PLOT
16727,2040,never,RB,I-PLOT
16728,2040,shown,VBN,I-PLOT
16729,2041,is,VBZ,O
16730,2041,there,EX,O
16731,2041,an,DT,O
16732,2041,isaac,NN,B-CHARACTER
16733,2041,newton,NN,I-CHARACTER
16734,2041,biopic,NN,O
16735,2042,what,WP,O
16736,2042,genre,NN,O
16737,2042,is,VBZ,O
16738,2042,avatar,JJ,B-TITLE
16739,2043,movie,NN,O
16740,2043,with,IN,O
16741,2043,the,DT,O
16742,2043,song,NN,O
16743,2043,fantasy,NN,B-SONG
16744,2043,in,IN,O
16745,2043,it,PRP,O
16746,2044,what,WP,O
16747,2044,is,VBZ,O
16748,2044,the,DT,O
16749,2044,name,NN,O
16750,2044,of,IN,O
16751,2044,a,DT,O
16752,2044,movie,NN,O
16753,2044,that,WDT,O
16754,2044,was,VBD,O
16755,2044,released,VBN,O
16756,2044,in,IN,O
16757,2044,1985,CD,B-YEAR
16758,2045,who,WP,O
16759,2045,directed,VBD,O
16760,2045,blading,NN,B-TITLE
16761,2045,saddles,NNS,I-TITLE
16762,2046,is,VBZ,O
16763,2046,there,EX,O
16764,2046,a,DT,O
16765,2046,romance,NN,B-GENRE
16766,2046,movie,NN,O
16767,2046,with,IN,O
16768,2046,channing,VBG,B-ACTOR
16769,2046,tatum,NN,I-ACTOR
16770,2046,in,IN,O
16771,2046,it,PRP,O
16772,2047,give,VB,O
16773,2047,me,PRP,O
16774,2047,the,DT,O
16775,2047,names,NNS,O
16776,2047,of,IN,O
16777,2047,all,DT,O
16778,2047,moves,NNS,O
16779,2047,with,IN,O
16780,2047,an,DT,O
16781,2047,nc,JJ,B-RATING
16782,2047,17,CD,I-RATING
16783,2047,rating,NN,O
16784,2048,which,WDT,O
16785,2048,movie,NN,O
16786,2048,was,VBD,O
16787,2048,like,IN,O
16788,2048,king,VBG,B-TITLE
16789,2048,kong,NN,I-TITLE
16790,2048,but,CC,O
16791,2048,the,DT,O
16792,2048,gorrilla,NN,O
16793,2048,was,VBD,O
16794,2048,named,VBN,O
16795,2048,joe,NN,B-CHARACTER
16796,2049,what,WP,O
16797,2049,year,NN,O
16798,2049,did,VBD,O
16799,2049,the,DT,B-TITLE
16800,2049,matrix,NN,I-TITLE
16801,2049,release,NN,O
16802,2050,find,VB,O
16803,2050,action,NN,B-GENRE
16804,2050,films,NNS,O
16805,2050,with,IN,O
16806,2050,william,JJ,B-ACTOR
16807,2050,h,NN,I-ACTOR
16808,2050,macy,NN,I-ACTOR
16809,2051,what,WP,O
16810,2051,film,NN,O
16811,2051,earned,VBD,O
16812,2051,colin,NN,B-ACTOR
16813,2051,firth,NN,I-ACTOR
16814,2051,an,DT,O
16815,2051,oscars,JJ,O
16816,2051,award,NN,O
16817,2051,in,IN,O
16818,2051,2011,CD,B-YEAR
16819,2052,find,VB,O
16820,2052,me,PRP,O
16821,2052,a,DT,O
16822,2052,movie,NN,O
16823,2052,with,IN,O
16824,2052,a,DT,O
16825,2052,character,NN,O
16826,2052,called,VBN,O
16827,2052,katniss,NN,B-CHARACTER
16828,2052,in,IN,O
16829,2052,it,PRP,O
16830,2053,what,WP,O
16831,2053,year,NN,O
16832,2053,was,VBD,O
16833,2053,drive,NN,B-TITLE
16834,2053,released,VBN,O
16835,2054,what,WDT,O
16836,2054,was,VBD,O
16837,2054,the,DT,O
16838,2054,plot,NN,O
16839,2054,of,IN,O
16840,2054,secret,NN,B-TITLE
16841,2054,of,IN,I-TITLE
16842,2054,my,PRP$,I-TITLE
16843,2054,success,NN,I-TITLE
16844,2055,who,WP,O
16845,2055,was,VBD,O
16846,2055,the,DT,O
16847,2055,female,JJ,O
16848,2055,lead,NN,O
16849,2055,in,IN,O
16850,2055,terminator,NN,B-TITLE
16851,2056,who,WP,O
16852,2056,stars,VBZ,O
16853,2056,in,IN,O
16854,2056,the,DT,B-TITLE
16855,2056,hunger,NN,I-TITLE
16856,2056,games,NNS,I-TITLE
16857,2057,find,VB,O
16858,2057,a,DT,O
16859,2057,movie,NN,O
16860,2057,about,IN,O
16861,2057,killer,NN,B-PLOT
16862,2057,dogs,NNS,I-PLOT
16863,2058,i,NN,O
16864,2058,want,VBP,O
16865,2058,to,TO,O
16866,2058,watch,VB,O
16867,2058,a,DT,O
16868,2058,vampire,NN,B-PLOT
16869,2058,movie,NN,O
16870,2058,made,VBN,O
16871,2058,in,IN,O
16872,2058,the,DT,O
16873,2058,1960s,NNS,B-YEAR
16874,2059,what,WP,O
16875,2059,independent,JJ,B-GENRE
16876,2059,movies,NNS,O
16877,2059,have,VBP,O
16878,2059,neil,VBN,B-ACTOR
16879,2059,patrick,JJ,I-ACTOR
16880,2059,harris,NN,I-ACTOR
16881,2059,in,IN,O
16882,2059,them,PRP,O
16883,2060,was,VBD,O
16884,2060,there,EX,O
16885,2060,a,DT,O
16886,2060,time,NN,B-PLOT
16887,2060,travelling,VBG,I-PLOT
16888,2060,astronaut,NNS,I-PLOT
16889,2060,film,NN,O
16890,2061,show,VB,O
16891,2061,me,PRP,O
16892,2061,i,JJ,B-TITLE
16893,2061,come,VBP,I-TITLE
16894,2061,in,IN,I-TITLE
16895,2061,peace,NN,I-TITLE
16896,2062,who,WP,O
16897,2062,directed,VBD,B-DIRECTOR
16898,2062,driving,VBG,B-TITLE
16899,2062,miss,NN,I-TITLE
16900,2062,daisy,NN,I-TITLE
16901,2063,list,NN,O
16902,2063,all,DT,O
16903,2063,movies,NNS,O
16904,2063,directed,VBN,O
16905,2063,by,IN,O
16906,2063,sofia,NN,B-DIRECTOR
16907,2063,coppola,NN,I-DIRECTOR
16908,2064,how,WRB,O
16909,2064,many,JJ,O
16910,2064,previews,NNS,B-TRAILER
16911,2064,did,VBD,O
16912,2064,the,DT,B-TITLE
16913,2064,fast,NN,I-TITLE
16914,2064,and,CC,I-TITLE
16915,2064,the,DT,I-TITLE
16916,2064,furious,JJ,I-TITLE
16917,2064,have,VBP,O
16918,2065,are,VBP,O
16919,2065,there,EX,O
16920,2065,any,DT,O
16921,2065,pg,NN,B-GENRE
16922,2065,13,CD,I-GENRE
16923,2065,disney,NN,O
16924,2065,movies,NNS,O
16925,2066,find,VB,O
16926,2066,clips,NNS,B-TRAILER
16927,2066,of,IN,O
16928,2066,men,NNS,B-TITLE
16929,2066,in,IN,I-TITLE
16930,2066,black,JJ,I-TITLE
16931,2066,ii,NN,I-TITLE
16932,2067,name,NN,O
16933,2067,the,DT,O
16934,2067,original,JJ,O
16935,2067,star,NN,O
16936,2067,of,IN,O
16937,2067,the,DT,O
16938,2067,pink,NN,B-TITLE
16939,2067,panther,NN,I-TITLE
16940,2067,movies,NNS,O
16941,2068,play,VB,O
16942,2068,a,DT,O
16943,2068,preview,NN,B-TRAILER
16944,2068,for,IN,O
16945,2068,hercules,NNS,B-TITLE
16946,2068,in,IN,I-TITLE
16947,2068,new,JJ,I-TITLE
16948,2068,york,NN,I-TITLE
16949,2069,is,VBZ,O
16950,2069,there,EX,O
16951,2069,a,DT,O
16952,2069,movie,NN,O
16953,2069,with,IN,O
16954,2069,christopher,NN,B-ACTOR
16955,2069,lee,NN,I-ACTOR
16956,2069,as,IN,O
16957,2069,an,DT,O
16958,2069,undertaker,NN,B-PLOT
16959,2070,were,VBD,O
16960,2070,there,EX,O
16961,2070,any,DT,O
16962,2070,movies,NNS,O
16963,2070,released,VBN,O
16964,2070,this,DT,B-YEAR
16965,2070,year,NN,I-YEAR
16966,2070,directed,VBN,O
16967,2070,by,IN,O
16968,2070,george,NN,B-DIRECTOR
16969,2070,clooney,NN,I-DIRECTOR
16970,2071,what,WP,O
16971,2071,is,VBZ,O
16972,2071,a,DT,O
16973,2071,good,JJ,O
16974,2071,action,NN,B-GENRE
16975,2071,movie,NN,O
16976,2071,with,IN,O
16977,2071,tom,JJ,B-ACTOR
16978,2071,cruise,NN,I-ACTOR
16979,2072,show,VB,O
16980,2072,me,PRP,O
16981,2072,the,DT,O
16982,2072,half,NN,B-SONG
16983,2072,baked,VBD,I-SONG
16984,2072,soundtrack,NN,I-SONG
16985,2073,who,WP,O
16986,2073,directed,VBD,O
16987,2073,buried,VBD,B-TITLE
16988,2073,alive,JJ,I-TITLE
16989,2074,which,WDT,O
16990,2074,films,NNS,O
16991,2074,are,VBP,O
16992,2074,similiar,JJ,B-REVIEW
16993,2074,to,TO,O
16994,2074,the,DT,O
16995,2074,movie,NN,O
16996,2074,youve,NN,B-TITLE
16997,2074,got,VBD,I-TITLE
16998,2074,mail,NN,I-TITLE
16999,2075,what,WP,O
17000,2075,kind,NN,O
17001,2075,of,IN,O
17002,2075,reviews,NNS,O
17003,2075,did,VBD,O
17004,2075,the,DT,O
17005,2075,film,NN,O
17006,2075,valentines,NNS,B-TITLE
17007,2075,day,NN,I-TITLE
17008,2075,receive,VBP,O
17009,2076,what,WP,O
17010,2076,movie,NN,O
17011,2076,did,VBD,O
17012,2076,sylvester,RB,B-ACTOR
17013,2076,stallone,NN,I-ACTOR
17014,2076,play,VBD,O
17015,2076,the,DT,O
17016,2076,star,NN,O
17017,2076,in,IN,O
17018,2077,name,NN,O
17019,2077,the,DT,O
17020,2077,character,NN,O
17021,2077,harrison,NN,B-ACTOR
17022,2077,ford,NN,I-ACTOR
17023,2077,played,VBN,O
17024,2077,in,IN,O
17025,2077,air,NN,B-TITLE
17026,2077,force,NN,I-TITLE
17027,2077,one,CD,I-TITLE
17028,2078,find,VB,O
17029,2078,me,PRP,O
17030,2078,a,DT,O
17031,2078,movie,NN,O
17032,2078,with,IN,O
17033,2078,ryan,JJ,B-ACTOR
17034,2078,gosling,VBG,I-ACTOR
17035,2078,in,IN,O
17036,2078,it,PRP,O
17037,2078,that,WDT,O
17038,2078,is,VBZ,O
17039,2078,not,RB,O
17040,2078,a,DT,O
17041,2078,romance,NN,B-GENRE
17042,2079,who,WP,O
17043,2079,is,VBZ,O
17044,2079,on,IN,O
17045,2079,the,DT,O
17046,2079,soundtrack,NN,O
17047,2079,to,TO,O
17048,2079,pulp,NN,B-TITLE
17049,2079,fiction,NN,I-TITLE
17050,2080,who,WP,O
17051,2080,played,VBD,O
17052,2080,james,NNS,B-CHARACTER
17053,2080,bond,NN,I-CHARACTER
17054,2080,in,IN,O
17055,2080,goldfinger,NN,B-TITLE
17056,2081,when,WRB,O
17057,2081,was,VBD,O
17058,2081,oceans,NNS,B-TITLE
17059,2081,twelve,VBP,I-TITLE
17060,2081,released,VBN,O
17061,2082,whats,NNS,O
17062,2082,a,DT,O
17063,2082,mainstream,JJ,B-RATINGS_AVERAGE
17064,2082,movie,NN,O
17065,2082,about,IN,O
17066,2082,sick,JJ,B-PLOT
17067,2082,killers,NNS,I-PLOT
17068,2083,are,VBP,O
17069,2083,any,DT,O
17070,2083,comedy,NN,B-GENRE
17071,2083,movies,NNS,O
17072,2083,rated,VBN,O
17073,2083,pg,NN,B-RATING
17074,2084,which,WDT,O
17075,2084,movie,NN,O
17076,2084,had,VBD,O
17077,2084,the,DT,O
17078,2084,saying,VBG,O
17079,2084,ill,NN,O
17080,2084,be,VB,O
17081,2084,back,RB,O
17082,2085,what,WP,O
17083,2085,movie,NN,O
17084,2085,shot,NN,O
17085,2085,brad,NN,B-ACTOR
17086,2085,pitt,NN,I-ACTOR
17087,2085,to,TO,O
17088,2085,stardom,VB,O
17089,2086,what,WP,O
17090,2086,year,NN,B-YEAR
17091,2086,did,VBD,O
17092,2086,shawshank,VB,B-TITLE
17093,2086,redemption,NN,I-TITLE
17094,2086,come,VBN,O
17095,2086,out,RP,O
17096,2087,in,IN,O
17097,2087,what,WP,O
17098,2087,year,NN,O
17099,2087,was,VBD,O
17100,2087,the,DT,B-TITLE
17101,2087,notebook,NN,I-TITLE
17102,2087,released,VBD,O
17103,2088,how,WRB,O
17104,2088,much,JJ,O
17105,2088,money,NN,O
17106,2088,does,VBZ,O
17107,2088,johnny,JJ,B-ACTOR
17108,2088,depp,NNS,I-ACTOR
17109,2088,make,VBP,O
17110,2088,a,DT,O
17111,2088,year,NN,O
17112,2089,who,WP,O
17113,2089,played,VBD,O
17114,2089,in,IN,O
17115,2089,army,NN,B-TITLE
17116,2089,of,IN,I-TITLE
17117,2089,darkness,NN,I-TITLE
17118,2090,what,WP,O
17119,2090,movie,NN,O
17120,2090,had,VBD,O
17121,2090,a,DT,O
17122,2090,score,NN,B-SONG
17123,2090,by,IN,O
17124,2090,john,NN,B-ACTOR
17125,2090,williams,NNS,I-ACTOR
17126,2090,made,VBN,O
17127,2090,before,IN,B-YEAR
17128,2090,1970,CD,I-YEAR
17129,2091,name,NN,O
17130,2091,the,DT,O
17131,2091,third,JJ,B-TITLE
17132,2091,harry,NN,I-TITLE
17133,2091,potter,NN,I-TITLE
17134,2091,movie,NN,I-TITLE
17135,2092,angelina,RB,B-ACTOR
17136,2092,jolie,JJ,I-ACTOR
17137,2092,movies,NNS,O
17138,2092,from,IN,O
17139,2092,the,DT,O
17140,2092,2000s,CD,B-YEAR
17141,2092,with,IN,O
17142,2092,2,CD,B-RATINGS_AVERAGE
17143,2092,star,NN,I-RATINGS_AVERAGE
17144,2092,ratings,NNS,I-RATINGS_AVERAGE
17145,2093,what,WP,O
17146,2093,year,NN,B-YEAR
17147,2093,was,VBD,O
17148,2093,the,DT,B-TITLE
17149,2093,goonies,NNS,I-TITLE
17150,2093,released,VBN,O
17151,2094,list,NN,O
17152,2094,films,NNS,O
17153,2094,containing,VBG,O
17154,2094,matthew,NN,B-ACTOR
17155,2094,broderick,NN,I-ACTOR
17156,2095,koreas,NNS,O
17157,2095,must,MD,B-REVIEW
17158,2095,see,VB,I-REVIEW
17159,2095,movies,NNS,O
17160,2096,what,WP,O
17161,2096,film,NN,O
17162,2096,is,VBZ,O
17163,2096,the,DT,O
17164,2096,quote,NN,O
17165,2096,you,PRP,O
17166,2096,talking,VBG,O
17167,2096,to,TO,O
17168,2096,me,PRP,O
17169,2096,from,IN,O
17170,2097,find,VB,O
17171,2097,a,DT,O
17172,2097,three,CD,B-TITLE
17173,2097,musketeers,NNS,I-TITLE
17174,2097,movie,NN,O
17175,2098,what,WP,O
17176,2098,movies,NNS,O
17177,2098,has,VBZ,O
17178,2098,francis,VBN,B-DIRECTOR
17179,2098,ford,JJ,I-DIRECTOR
17180,2098,coppola,NN,I-DIRECTOR
17181,2098,directed,VBD,O
17182,2099,name,NN,O
17183,2099,a,DT,O
17184,2099,flick,NN,O
17185,2099,with,IN,O
17186,2099,steve,JJ,B-ACTOR
17187,2099,martin,NN,I-ACTOR
17188,2099,and,CC,O
17189,2099,darrel,NN,O
17190,2099,hanna,NN,O
17191,2100,list,NN,O
17192,2100,theplot,NN,O
17193,2100,of,IN,O
17194,2100,while,IN,B-TITLE
17195,2100,you,PRP,I-TITLE
17196,2100,were,VBD,I-TITLE
17197,2100,sleeping,VBG,I-TITLE
17198,2101,who,WP,O
17199,2101,directed,VBD,B-DIRECTOR
17200,2101,the,DT,B-TITLE
17201,2101,nightmare,NN,I-TITLE
17202,2101,before,IN,I-TITLE
17203,2101,christmas,NNS,I-TITLE
17204,2102,who,WP,O
17205,2102,was,VBD,O
17206,2102,the,DT,O
17207,2102,actor,NN,B-ACTOR
17208,2102,who,WP,O
17209,2102,played,VBD,O
17210,2102,indiana,NN,B-CHARACTER
17211,2102,jones,NNS,I-CHARACTER
17212,2103,who,WP,O
17213,2103,was,VBD,O
17214,2103,the,DT,O
17215,2103,lead,JJ,O
17216,2103,role,NN,O
17217,2103,in,IN,O
17218,2103,space,NN,B-TITLE
17219,2103,balls,NNS,I-TITLE
17220,2104,show,NN,O
17221,2104,good,JJ,B-REVIEW
17222,2104,horror,NN,B-GENRE
17223,2104,films,NNS,O
17224,2104,from,IN,O
17225,2104,2012,CD,B-YEAR
17226,2105,find,VB,O
17227,2105,me,PRP,O
17228,2105,the,DT,O
17229,2105,movie,NN,O
17230,2105,with,IN,O
17231,2105,the,DT,O
17232,2105,song,NN,O
17233,2105,my,PRP$,B-SONG
17234,2105,heart,NN,I-SONG
17235,2105,will,MD,I-SONG
17236,2105,go,VB,I-SONG
17237,2105,on,IN,I-SONG
17238,2106,is,VBZ,O
17239,2106,mel,JJ,B-ACTOR
17240,2106,gibson,NN,I-ACTOR
17241,2106,in,IN,O
17242,2106,a,DT,O
